#SampleID	probka	zbiornik	pora_roku	rok	region
#q2:types	categorical	categorical	categorical	categorical	categorical
228_Tal	228_Tal	Talty	lato	2017	Mazury
314_Zab	314_Zab	Zablotnia	jesien	2017	Mazowsze
026_Ceg	026_Ceg	Ceglow	wiosna	2017	Mazowsze
847_Zab	847_Zab	Zablotnia	jesien	2019	Mazowsze
284_Tal	284_Tal	Talty	jesien	2017	Mazury
142_UR19	142_UR19	Urwitalt	lato	2017	Mazury
772_Tal	772_Tal	Talty	lato	2019	Mazury
680_UR19	680_UR19	Urwitalt	wiosna	2019	Mazury
029_Zab	029_Zab	Zablotnia	wiosna	2017	Mazowsze
769_UR19	769_UR19	Urwitalt	lato	2019	Mazury
719_Zab	719_Zab	Zablotnia	wiosna	2019	Mazowsze
276_UR19	276_UR19	Urwitalt	wiosna	2017	Mazury
814_UR19	814_UR19	Urwitalt	jesien	2019	Mazury
044_Tal	044_Tal	Talty	wiosna	2017	Mazury
224_UR19	224_UR19	Urwitalt	jesien	2017	Mazury
763_Zab	763_Zab	Zablotnia	lato	2019	Mazowsze
310_Ceg	310_Ceg	Ceglow	jesien	2017	Mazowsze
716_Ceg	716_Ceg	Ceglow	wiosna	2019	Mazowsze
760_Ceg	760_Ceg	Ceglow	lato	2019	Mazowsze
817_Tal	817_Tal	Talty	jesien	2019	Mazury
683_Tal	683_Tal	Talty	wiosna	2019	Mazury
120_Ceg	120_Ceg	Ceglow	lato	2017	Mazowsze
850_Ceg	850_Ceg	Ceglow	jesien	2019	Mazowsze
125_Zab	125_Zab	Zablotnia	lato	2017	Mazowsze
